user_id,signup_date,ab_group,channel,platform,region,age_group
100201,2026-02-02,test,organic,web,Moscow,25-34
100202,2026-03-23,test,email,web,Moscow,35-44
100203,2026-02-14,test,paid_search,ios,Other Russia,25-34
100204,2026-03-04,test,paid_search,android,Saint Petersburg,25-34
100205,2026-02-11,test,organic,web,Other Russia,35-44
100206,2026-01-24,control,referral,ios,Saint Petersburg,18-24
100207,2026-03-10,control,social_ads,ios,Moscow,18-24
100208,2026-03-29,control,paid_search,android,Other Russia,25-34
100209,2026-01-24,control,organic,web,Other Russia,35-44
100210,2026-03-12,control,social_ads,android,Moscow,25-34
100211,2026-01-24,control,email,android,Other Russia,25-34
100212,2026-03-06,test,paid_search,web,Moscow,25-34
100213,2026-03-13,test,organic,ios,Moscow,25-34
100214,2026-02-10,test,organic,ios,Moscow,35-44
100215,2026-03-08,control,organic,web,Saint Petersburg,35-44
100216,2026-01-25,test,social_ads,ios,Other Russia,25-34
100217,2026-01-08,control,email,ios,Moscow,35-44
100218,2026-01-09,control,email,android,Other Russia,35-44
100219,2026-02-10,control,referral,web,Other Russia,35-44
100220,2026-03-23,control,organic,ios,Moscow,25-34
100221,2026-01-12,control,email,web,Moscow,18-24
100222,2026-02-11,test,organic,ios,Moscow,25-34
100223,2026-03-05,test,organic,ios,Moscow,25-34
100224,2026-01-19,test,social_ads,ios,Other Russia,25-34
100225,2026-03-06,control,organic,ios,Other Russia,25-34
100226,2026-01-28,test,referral,web,Moscow,18-24
100227,2026-03-14,test,email,web,Saint Petersburg,18-24
100228,2026-02-22,control,referral,android,Moscow,18-24
100229,2026-02-19,test,referral,web,Moscow,18-24
100230,2026-01-16,control,paid_search,android,Moscow,18-24
100231,2026-02-11,control,organic,ios,Moscow,18-24
100232,2026-03-19,control,referral,android,Moscow,18-24
100233,2026-01-02,test,social_ads,web,Moscow,45+
100234,2026-03-10,control,email,ios,Moscow,25-34
100235,2026-02-14,control,organic,web,Saint Petersburg,25-34
100236,2026-03-06,control,organic,android,Saint Petersburg,35-44
100237,2026-03-01,test,paid_search,ios,Moscow,25-34
100238,2026-02-08,control,social_ads,ios,Saint Petersburg,18-24
100239,2026-01-28,control,referral,android,Moscow,25-34
100240,2026-02-26,control,email,web,Other Russia,25-34
100241,2026-01-13,test,organic,ios,Moscow,25-34
100242,2026-02-22,test,paid_search,android,Saint Petersburg,18-24
100243,2026-01-09,test,organic,web,Moscow,25-34
100244,2026-02-28,control,organic,android,Moscow,18-24
100245,2026-02-26,control,paid_search,android,Saint Petersburg,25-34
100246,2026-01-08,test,social_ads,android,Other Russia,25-34
100247,2026-03-10,control,paid_search,android,Other Russia,18-24
100248,2026-02-07,test,paid_search,web,Saint Petersburg,25-34
100249,2026-03-12,test,social_ads,ios,Moscow,18-24
100250,2026-01-04,control,referral,web,Other Russia,25-34
100251,2026-01-17,test,organic,android,Moscow,25-34
100252,2026-02-14,test,paid_search,web,Saint Petersburg,35-44
100253,2026-01-17,control,social_ads,android,Other Russia,25-34
100254,2026-01-30,control,referral,web,Moscow,45+
100255,2026-03-01,control,referral,web,Saint Petersburg,18-24
100256,2026-01-14,test,organic,web,Moscow,35-44
100257,2026-03-02,control,paid_search,android,Moscow,25-34
100258,2026-01-10,control,email,web,Other Russia,25-34
100259,2026-01-16,test,paid_search,web,Moscow,35-44
100260,2026-02-22,control,paid_search,web,Moscow,45+
100261,2026-03-13,control,email,web,Saint Petersburg,35-44
100262,2026-01-16,test,organic,android,Moscow,25-34
100263,2026-01-27,control,social_ads,ios,Moscow,25-34
100264,2026-03-25,control,referral,web,Moscow,18-24
100265,2026-03-31,control,organic,web,Saint Petersburg,25-34
100266,2026-02-22,control,social_ads,web,Moscow,25-34
100267,2026-02-10,control,paid_search,web,Other Russia,18-24
100268,2026-02-01,test,referral,web,Moscow,18-24
100269,2026-02-25,test,email,web,Other Russia,45+
100270,2026-02-23,control,referral,web,Moscow,18-24
100271,2026-01-27,test,organic,web,Moscow,25-34
100272,2026-01-03,test,social_ads,android,Other Russia,18-24
100273,2026-01-14,test,email,web,Other Russia,25-34
100274,2026-03-28,test,social_ads,ios,Moscow,18-24
100275,2026-02-07,test,social_ads,ios,Moscow,35-44
100276,2026-02-13,test,organic,android,Other Russia,18-24
100277,2026-02-12,control,referral,web,Moscow,18-24
100278,2026-03-12,test,organic,android,Moscow,18-24
100279,2026-01-06,control,organic,android,Saint Petersburg,25-34
100280,2026-01-08,control,email,android,Other Russia,25-34
100281,2026-01-25,test,email,android,Saint Petersburg,18-24
100282,2026-02-13,control,email,web,Saint Petersburg,35-44
100283,2026-03-02,control,paid_search,android,Other Russia,25-34
100284,2026-02-14,control,organic,android,Moscow,18-24
100285,2026-02-09,control,paid_search,web,Other Russia,18-24
100286,2026-03-26,test,organic,web,Moscow,25-34
100287,2026-01-15,test,referral,android,Other Russia,25-34
100288,2026-02-21,control,paid_search,web,Saint Petersburg,25-34
100289,2026-02-18,control,paid_search,android,Moscow,35-44
100290,2026-02-12,control,organic,web,Saint Petersburg,18-24
100291,2026-03-14,control,paid_search,android,Other Russia,25-34
100292,2026-01-25,test,referral,web,Saint Petersburg,25-34
100293,2026-03-27,test,social_ads,android,Moscow,18-24
100294,2026-01-30,control,organic,ios,Moscow,25-34
100295,2026-02-19,control,organic,android,Other Russia,25-34
100296,2026-02-16,test,paid_search,web,Other Russia,25-34
100297,2026-03-18,test,organic,web,Moscow,25-34
100298,2026-02-09,control,email,web,Moscow,18-24
100299,2026-01-26,control,social_ads,web,Other Russia,25-34
100300,2026-01-02,control,organic,android,Moscow,35-44
100301,2026-02-02,test,referral,web,Moscow,25-34
100302,2026-03-16,control,paid_search,web,Moscow,25-34
100303,2026-01-01,control,organic,android,Saint Petersburg,25-34
100304,2026-03-22,test,paid_search,web,Other Russia,25-34
100305,2026-02-18,test,organic,web,Saint Petersburg,18-24
100306,2026-01-13,control,paid_search,ios,Moscow,25-34
100307,2026-01-28,control,referral,web,Other Russia,25-34
100308,2026-02-19,control,email,android,Moscow,18-24
100309,2026-01-29,test,paid_search,ios,Other Russia,18-24
100310,2026-01-10,control,social_ads,web,Moscow,18-24
100311,2026-03-01,test,organic,ios,Other Russia,25-34
100312,2026-03-02,test,paid_search,android,Other Russia,18-24
100313,2026-01-11,test,organic,web,Other Russia,35-44
100314,2026-01-26,test,paid_search,android,Moscow,45+
100315,2026-01-22,control,organic,web,Other Russia,45+
100316,2026-03-01,control,email,ios,Other Russia,18-24
100317,2026-03-07,test,referral,android,Moscow,25-34
100318,2026-03-07,control,organic,web,Saint Petersburg,35-44
100319,2026-03-26,control,referral,ios,Other Russia,25-34
100320,2026-03-11,control,organic,web,Other Russia,25-34
100321,2026-01-29,control,social_ads,android,Other Russia,35-44
100322,2026-01-10,control,organic,ios,Moscow,25-34
100323,2026-02-25,test,organic,web,Other Russia,35-44
100324,2026-03-24,test,social_ads,web,Moscow,45+
100325,2026-03-29,test,paid_search,android,Moscow,45+
100326,2026-01-21,test,paid_search,web,Other Russia,25-34
100327,2026-01-22,control,paid_search,web,Saint Petersburg,18-24
100328,2026-01-04,test,organic,web,Other Russia,25-34
100329,2026-01-13,test,organic,ios,Saint Petersburg,25-34
100330,2026-02-19,control,social_ads,web,Moscow,25-34
100331,2026-02-19,test,social_ads,android,Other Russia,25-34
100332,2026-02-03,control,organic,ios,Moscow,25-34
100333,2026-01-28,control,paid_search,web,Other Russia,25-34
100334,2026-03-16,control,social_ads,ios,Other Russia,45+
100335,2026-02-11,control,social_ads,web,Other Russia,35-44
100336,2026-03-14,control,referral,web,Other Russia,25-34
100337,2026-03-28,test,paid_search,ios,Saint Petersburg,25-34
100338,2026-01-29,test,paid_search,web,Saint Petersburg,25-34
100339,2026-01-19,control,paid_search,android,Other Russia,25-34
100340,2026-03-27,test,organic,ios,Moscow,18-24
100341,2026-02-27,control,organic,web,Other Russia,35-44
100342,2026-01-27,test,organic,android,Moscow,35-44
100343,2026-02-25,control,referral,ios,Other Russia,25-34
100344,2026-02-16,control,organic,web,Saint Petersburg,35-44
100345,2026-03-23,test,social_ads,ios,Other Russia,45+
100346,2026-01-24,test,paid_search,android,Saint Petersburg,35-44
100347,2026-03-31,test,paid_search,ios,Saint Petersburg,45+
100348,2026-03-26,test,referral,ios,Other Russia,25-34
100349,2026-01-17,test,social_ads,ios,Moscow,45+
100350,2026-01-15,control,organic,web,Moscow,45+
100351,2026-02-17,control,referral,web,Moscow,25-34
100352,2026-01-05,control,paid_search,ios,Saint Petersburg,18-24
100353,2026-01-27,control,paid_search,android,Saint Petersburg,18-24
100354,2026-02-09,control,social_ads,android,Saint Petersburg,25-34
100355,2026-03-29,control,social_ads,web,Moscow,35-44
100356,2026-03-31,control,organic,web,Moscow,25-34
100357,2026-01-14,test,email,web,Other Russia,35-44
100358,2026-03-22,control,social_ads,web,Other Russia,35-44
100359,2026-01-09,test,social_ads,ios,Moscow,18-24
100360,2026-03-09,test,organic,web,Moscow,18-24
100361,2026-03-18,control,organic,android,Moscow,35-44
100362,2026-03-22,control,paid_search,ios,Other Russia,25-34
100363,2026-01-21,test,social_ads,ios,Other Russia,45+
100364,2026-03-22,test,paid_search,android,Other Russia,35-44
100365,2026-01-11,control,social_ads,ios,Other Russia,25-34
100366,2026-02-16,control,organic,android,Other Russia,25-34
100367,2026-02-12,test,social_ads,android,Moscow,35-44
100368,2026-01-29,test,referral,ios,Moscow,35-44
100369,2026-01-02,control,social_ads,web,Moscow,25-34
100370,2026-03-11,control,referral,web,Other Russia,45+
100371,2026-01-31,test,referral,android,Saint Petersburg,25-34
100372,2026-03-01,control,organic,web,Saint Petersburg,18-24
100373,2026-02-06,test,social_ads,android,Other Russia,25-34
100374,2026-02-03,control,email,web,Moscow,35-44
100375,2026-03-21,test,paid_search,android,Moscow,45+
100376,2026-01-09,control,organic,web,Other Russia,18-24
100377,2026-03-08,control,email,android,Other Russia,25-34
100378,2026-03-09,test,organic,web,Moscow,25-34
100379,2026-02-04,control,organic,web,Saint Petersburg,35-44
100380,2026-01-24,test,organic,android,Other Russia,35-44
100381,2026-01-01,control,paid_search,web,Other Russia,18-24
100382,2026-03-26,test,paid_search,web,Saint Petersburg,35-44
100383,2026-03-27,test,paid_search,android,Moscow,25-34
100384,2026-01-22,test,email,android,Moscow,35-44
100385,2026-01-03,control,paid_search,web,Moscow,35-44
100386,2026-01-12,test,paid_search,ios,Moscow,18-24
100387,2026-01-07,test,referral,web,Other Russia,45+
100388,2026-03-16,test,referral,web,Other Russia,25-34
100389,2026-03-22,control,organic,ios,Other Russia,45+
100390,2026-01-14,control,organic,web,Moscow,18-24
100391,2026-03-09,control,social_ads,ios,Moscow,35-44
100392,2026-01-17,test,referral,web,Other Russia,25-34
100393,2026-02-03,test,paid_search,android,Moscow,18-24
100394,2026-02-23,control,organic,ios,Moscow,45+
100395,2026-03-06,test,social_ads,web,Moscow,25-34
100396,2026-03-20,test,social_ads,android,Moscow,18-24
100397,2026-01-05,control,paid_search,android,Moscow,35-44
100398,2026-01-18,control,referral,web,Moscow,25-34
100399,2026-01-26,test,referral,android,Other Russia,25-34
100400,2026-01-28,test,social_ads,web,Moscow,45+
100401,2026-03-31,control,social_ads,web,Saint Petersburg,25-34
100402,2026-03-11,test,social_ads,web,Saint Petersburg,18-24
100403,2026-01-29,test,paid_search,web,Saint Petersburg,35-44
100404,2026-03-29,test,paid_search,ios,Saint Petersburg,35-44
100405,2026-02-14,test,social_ads,ios,Moscow,18-24
100406,2026-02-15,test,social_ads,android,Moscow,25-34
100407,2026-02-09,test,paid_search,web,Saint Petersburg,25-34
100408,2026-01-13,control,organic,web,Other Russia,18-24
100409,2026-03-26,test,social_ads,web,Moscow,25-34
100410,2026-01-02,control,social_ads,web,Saint Petersburg,35-44
100411,2026-01-16,test,paid_search,android,Other Russia,25-34
100412,2026-01-21,control,paid_search,android,Other Russia,18-24
100413,2026-01-26,test,organic,android,Other Russia,45+
100414,2026-01-12,control,email,android,Saint Petersburg,25-34
100415,2026-01-02,control,referral,web,Other Russia,45+
100416,2026-03-02,control,paid_search,web,Saint Petersburg,35-44
100417,2026-03-29,test,paid_search,ios,Other Russia,25-34
100418,2026-01-11,test,social_ads,android,Other Russia,25-34
100419,2026-01-27,control,paid_search,web,Moscow,18-24
100420,2026-02-15,test,email,web,Other Russia,18-24
100421,2026-03-25,test,organic,ios,Other Russia,18-24
100422,2026-03-04,control,organic,web,Saint Petersburg,25-34
100423,2026-03-10,test,paid_search,ios,Moscow,25-34
100424,2026-02-22,control,organic,web,Other Russia,35-44
100425,2026-02-07,control,social_ads,ios,Moscow,25-34
100426,2026-01-18,test,referral,web,Saint Petersburg,25-34
100427,2026-03-19,control,organic,android,Moscow,18-24
100428,2026-03-14,test,paid_search,android,Other Russia,25-34
100429,2026-01-03,test,social_ads,web,Other Russia,35-44
100430,2026-03-06,test,referral,android,Moscow,35-44
100431,2026-01-08,test,paid_search,android,Other Russia,25-34
100432,2026-03-08,test,organic,ios,Other Russia,25-34
100433,2026-03-16,test,paid_search,android,Moscow,25-34
100434,2026-01-12,control,paid_search,android,Moscow,35-44
100435,2026-02-09,control,referral,web,Moscow,25-34
100436,2026-01-12,test,paid_search,web,Other Russia,35-44
100437,2026-02-21,control,organic,web,Saint Petersburg,18-24
100438,2026-03-25,control,social_ads,ios,Moscow,25-34
100439,2026-01-08,control,paid_search,android,Moscow,25-34
100440,2026-02-05,test,organic,ios,Saint Petersburg,18-24
100441,2026-03-29,control,paid_search,web,Moscow,25-34
100442,2026-01-28,control,email,android,Other Russia,25-34
100443,2026-01-12,control,social_ads,android,Moscow,18-24
100444,2026-02-13,control,organic,web,Other Russia,45+
100445,2026-02-15,test,social_ads,android,Other Russia,18-24
100446,2026-03-01,control,organic,web,Other Russia,35-44
100447,2026-01-29,test,paid_search,ios,Moscow,25-34
100448,2026-03-28,test,paid_search,ios,Saint Petersburg,18-24
100449,2026-02-16,control,organic,android,Other Russia,18-24
100450,2026-01-26,test,paid_search,web,Saint Petersburg,35-44
100451,2026-03-28,test,email,web,Moscow,35-44
100452,2026-03-25,test,organic,ios,Moscow,25-34
100453,2026-02-14,control,referral,android,Saint Petersburg,25-34
100454,2026-01-03,control,social_ads,web,Saint Petersburg,18-24
100455,2026-02-23,test,paid_search,web,Other Russia,35-44
100456,2026-02-19,test,organic,android,Other Russia,35-44
100457,2026-01-14,test,organic,android,Other Russia,25-34
100458,2026-02-27,test,organic,web,Other Russia,35-44
100459,2026-03-17,control,paid_search,web,Other Russia,25-34
100460,2026-01-10,test,email,ios,Moscow,25-34
100461,2026-03-07,control,referral,ios,Moscow,25-34
100462,2026-01-13,test,organic,ios,Other Russia,18-24
100463,2026-03-09,control,organic,android,Moscow,18-24
100464,2026-02-07,control,organic,web,Other Russia,35-44
100465,2026-01-01,test,email,android,Moscow,45+
100466,2026-03-28,test,organic,web,Moscow,25-34
100467,2026-01-15,test,organic,android,Other Russia,18-24
100468,2026-02-23,control,social_ads,web,Other Russia,18-24
100469,2026-01-17,control,paid_search,web,Other Russia,25-34
100470,2026-03-25,test,organic,web,Moscow,25-34
100471,2026-03-08,control,social_ads,web,Moscow,18-24
100472,2026-03-14,control,organic,web,Other Russia,18-24
100473,2026-02-08,test,organic,ios,Other Russia,35-44
100474,2026-02-12,control,organic,android,Moscow,18-24
100475,2026-02-27,test,paid_search,ios,Saint Petersburg,25-34
100476,2026-03-12,control,email,ios,Moscow,35-44
100477,2026-03-18,test,paid_search,web,Other Russia,18-24
100478,2026-01-02,test,social_ads,android,Moscow,25-34
100479,2026-03-01,test,organic,web,Other Russia,18-24
100480,2026-01-10,test,social_ads,web,Moscow,25-34
100481,2026-01-26,control,email,web,Other Russia,45+
100482,2026-03-16,test,paid_search,web,Other Russia,25-34
100483,2026-01-23,test,email,ios,Moscow,18-24
100484,2026-03-13,test,social_ads,web,Moscow,18-24
100485,2026-02-11,test,social_ads,web,Saint Petersburg,25-34
100486,2026-01-21,test,organic,android,Other Russia,35-44
100487,2026-01-31,test,social_ads,web,Other Russia,35-44
100488,2026-02-17,test,paid_search,ios,Saint Petersburg,25-34
100489,2026-03-10,control,email,web,Moscow,18-24
100490,2026-02-24,control,email,android,Other Russia,45+
100491,2026-03-25,test,paid_search,android,Moscow,35-44
100492,2026-03-20,control,email,web,Saint Petersburg,18-24
100493,2026-03-09,test,referral,android,Other Russia,25-34
100494,2026-02-24,test,social_ads,web,Other Russia,25-34
100495,2026-01-27,control,organic,web,Moscow,25-34
100496,2026-02-07,test,organic,ios,Moscow,25-34
